,title,images,description,price,rating,review
0,Dumbbell Set 10Kg Dumbbells Hand Weights Free Weights Fitness 10Kg Dumbell,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/1/i/1i.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","Materaial: Rubber
Pair of Neoprene coated Dumbbells for aerobic and fitness training
Soft touch finish, comfy to hold helps protects floors, weight size printed on the dumbbell
Ergonomic grip handles offer soft and comfortable grip
Can help weight loss, toning, sculpting, mobility and rehabilitation
Great for all levels of fitness","रू 9,999",no rating,no review
1,Dumbell 10Kg / 15Kg / 20Kg Adjustable Top Grade Gym Fitness Black Bumper Plate Rubber Dumbbell Set,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/1/i/1i.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","Material: Bumper Plate Rubber with non-slip rubber grip
Colour: Black
Weight: Total set weight includes spinlock collars, bar and extender.
Material: Steel, Rubber Plastic, Concrete.
Free Gift: 1pcs 40cm Extender / Barbell Converter, 2x Palm Guard + 2x Wrist Guard
Hard Paper Box Packaging.","रू 9,999",no rating,no review
2,Adjustable Dumbbell Barbell Weight Lifting Set Pair Home Gym Dumbell,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/1/i/1i.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","This Dumbbell and Barbell set is perfect for your everyday fitness.100% Brand New and QualityMade of high-quality Steel material and soft grip for hands.Adjustable Weights.
 
Specifications:
Material: Steel covered with Vinyl
Colour: Black+Red","रू 14,999",no rating,no review
3,Push Up Bars,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/1/i/1i.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","Product details of Push Up Bars



Convinient
Environmental
Comfortable
Professional
If daily use, you can achieve to narrow the abdomen, hips, chest and exercise your upper abdomen, chest, shoulders, triceps, biceps and waist
Let you perfect your body shape and have a healthy body","रू 1,799",no rating,no review
4,Roller Perfect Abdominal and Stomach Exercise for Total Body Carver Fitness Workout for Home for 6 Pack Abs,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/1/i/1i.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","✮CORE TRAINING ✮ - Izoo Ab roller acts as your personal fitness trainer. It is perfect Abdominal & Stomach Exerciser, Core Training, Carver Fitness Workout. It helps you to build stronger and bigger six pack abs, muscle toning, burn calories, lose weight, shape your body, build muscle and improve your overall endurance. It can help stretch and exercise the muscles of your abdomen, arms, chest, shoulders, back, and get you six pack abs. The exercise wheel will help strengthen your core strength.
✮SUPERIOR QUALITY✮- It is made of strong, durable material to ensure it withstands even the most intense workout sessions. The ab roller is made of strong stainless steel shaft, high-quality hard plastic, non-slip rubber and durable PVC. Dual ab wheel surface are made up of high-density rubber, which will not damage the floor. Also, it will not make any noise when you use it. The high-quality plastic discs make the ab roller more stable and durable, the stripes on the surface of tires. The non-
✮DESIGNED FOR MINIMUM STRAIN & MAXIMUM EFFECT ✮-The Ab Wheel may look ""just"" like a wheel and an axle - and it's exactly this simplicity of design where its ingenuity lies. Its ergonomic, well-balanced, easy to use design means that it can effectively be incorporated in almost any workout regime. Two non-skid wheels for stability slides across any surface without wobbling or slipping for smooth controlled movements. Plus, its non-slip handles, stainless steel axle, and wide wheel track ensure.
✮ANTI-SLIP AND KNEE PROTECTING ✮-The easy-grip handles to prevent slippage, minimize hand fatigue and maximizing comfort and control during even the most intense workout. The abs roller handles are made of comfortable foam padding ensure safety and comfort. The AB roller kit comes with a knee pad. The comfortable knee pad helps to maximize results of ab roll out exercises and protect your knees from getting hurt.
✮GREAT FOR ALL LEVELS ✮-Our Ab Wheel fits for all fitness levels, from beginners to advanced. No matter you are adults, men, women, or children, it is your ideal Ab exerciser. It fits in your sports bag. It is the perfect training equipment for your home gym. To help ensure you receive a home workout equipment that you’re fully satisfied with, we’re offering our life-time risk free guarantee with every purchase.",रू 999,no rating,no review
5,"Punching Bag with Stand, for Kids & Adults, Height Adjustable - Freestanding Punching Ball Boxing Speed Bag - Great for MMA Training, Stress Relief & Fitness","['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/1/i/1i.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']",,"रू 9,999",no rating,no review
6,Anti Burst Gym Ball for Exercise & Fitness (Inflatable Pump is not Included),"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/1/i/1i.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","Product Details:Large balance ball promotes strength, agility, and balanceMade of high-quality rubber for durabilityMatte-textured finish with horizontal lines to improve grip and avoid slippingBalance ball can be blown up to desired size and firmness, but has a maximum diameter of approximately 65cm,75cm (just under 26 inches)Note : Inflatable Pump is not included","रू 2,499",no rating,no review
7,Weibosi WBS Wrist Wrap Support,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/1/i/1i.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","Helps to avoid the misery and frustration resulting from an injured or weak wrist and hand. 
Retains body heat to relieve pain, warm the joint and increase blood circulation. 
Easy to wear & Comfortable. Use in conditions and indications such as General Pain Sprain, Strain Arthritic, Tendonitis, Osteoarthritis.
Provide underprop and protect muscle joints Machine wash in cold water and air dry.
Suitable for: sports, fitness, physical exercise protection use, in basketball, weightlifting, barbell, grip strength, badminton, table tennis get wide use!",रू 899,no rating,no review
8,"Push Up Bar, Pair (Black/Silver)","['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/1/i/1i.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","The Strauss push-up bar is an ergonomic and sturdily designed push-up bar that will prevent avoidable stress on your arms and upper body and aid your physical training. Used to strengthen upper body, these push-up bars are durable, handy and most importantly, safe. It distributes the weight evenly between the arms and successfully works the core of your body.You'll never have to worry about finding a suitable implement for dips when you've got these push-up bars lying around. They can support a weight that won't be exceeded by the average individual. If you're just thinking about beginning a workout routine for your upper body, there's no better place to start than with the Strauss push-up bars. They can give you the results of better equipment at a lower cost, making them the perfect first purchase.

 
 

The push up bar comes in a range of different colors to suit your own taste. Convenient, perfectly sized and economical, the Strauss push-up bars are a perfect addition your home training equipment!

 
 


Color: Black with Silver Steel
Used for push-ups, dips
Ergonomically designed
Adds less stress to the palms
Conveniently sized and easy to store","रू 2,499",no rating,no review
9,Fitness York 15 kg Chrome Adjustable Dumbbell Set 15 kg Chrome Coated With Briefcase And Connector,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/1/i/1i.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","Small and compact size though does not lack in performance
Help you get fit in the comforts and privacy of your own home
Don’t have to shell out a hefty monthly fee to enjoy this equipment
Get your heart racing and train for that marathon or build for a healthier life
Ideal for daily use and workout at wherever you choose to exercise
FREE Equipment Box / Durable Gift Case.","रू 15,000",no rating,no review
